# Transmittance data for ZAOT nov. 2022
CUTOFF	0	    15	    30	    45	    60	    75
300.01	74.355	72.289	73.009	67.905	70.481	29.691
301.04	75.420	72.788	73.591	68.437	70.820	29.918
301.96	76.014	73.640	74.330	69.130	71.177	30.070
302.98	76.152	74.505	75.063	69.934	71.527	30.170
303.99	76.000	75.099	75.657	70.790	71.829	30.244
305.01	75.804	75.303	76.066	71.658	72.074	30.321
306.01	76.084	75.083	76.596	72.894	72.577	30.695
307.02	76.846	74.779	77.074	74.292	72.988	31.036
308.02	77.936	74.673	77.653	75.809	73.358	31.371
309.01	79.029	75.006	78.439	77.390	73.728	31.718
310.00	79.736	75.722	79.371	78.948	74.083	32.082
310.99	79.895	76.631	80.292	80.404	74.374	32.459
311.98	79.627	77.471	81.065	81.695	74.568	32.841
312.96	79.207	78.079	81.606	82.810	74.647	33.185
314.05	78.968	78.441	81.923	83.745	74.580	33.455
315.02	79.083	78.730	82.099	84.527	74.284	33.605
316.00	79.560	79.155	82.242	85.182	73.662	33.573
316.97	80.292	79.879	82.438	85.750	72.649	33.283
318.05	81.028	80.928	82.728	86.251	71.283	32.698
319.02	81.583	82.210	83.103	86.718	69.571	31.775
319.98	81.881	83.514	83.514	87.152	67.490	30.465
320.95	82.062	84.610	83.895	87.562	65.110	28.816
322.03	82.322	85.354	84.239	87.962	62.517	26.862
323.00	82.820	85.725	84.534	88.348	59.809	24.666
323.97	83.640	85.811	84.791	88.713	57.063	22.295
325.04	84.691	85.847	85.053	89.051	54.389	19.842
326.02	85.834	85.984	85.325	89.357	51.921	17.384
326.99	86.879	86.311	85.604	89.629	49.784	14.989
327.96	87.618	86.801	85.849	89.847	48.062	12.734
329.05	88.023	87.368	86.028	90.030	46.705	10.647
330.03	88.144	87.899	86.107	90.171	45.681	8.773
331.01	88.130	88.269	86.067	90.288	44.987	7.161
332.00	88.146	88.471	85.957	90.392	44.561	5.793
332.99	88.293	88.525	85.832	90.494	44.350	4.673
333.98	88.593	88.498	85.776	90.605	44.280	3.779
334.97	88.998	88.484	85.860	90.724	44.288	3.103
335.97	89.421	88.497	86.116	90.857	44.310	2.586
336.98	89.768	88.538	86.551	90.994	44.334	2.198
337.99	90.005	88.585	87.132	91.134	44.356	1.913
339.00	90.130	88.630	87.820	91.276	44.374	1.703
340.02	90.176	88.657	88.552	91.421	44.394	1.556
341.04	90.173	88.688	89.280	91.562	44.409	1.456
341.95	90.162	88.765	89.960	91.695	44.426	1.390
342.98	90.176	88.917	90.568	91.828	44.454	1.356
344.02	90.192	89.157	91.091	91.947	44.491	1.354
344.95	90.197	89.487	91.538	92.058	44.541	1.378
345.99	90.209	89.876	91.942	92.171	44.619	1.415
347.04	90.191	90.267	92.296	92.279	44.712	1.494
347.98	90.181	90.601	92.612	92.372	44.818	1.613
349.03	90.223	90.812	92.912	92.462	44.946	1.795
349.98	90.336	90.864	93.188	92.547	45.084	2.064
351.04	90.544	90.760	93.461	92.631	45.228	2.461
352.00	90.861	90.513	93.708	92.707	45.377	3.081
352.95	91.266	90.175	93.929	92.764	45.524	4.018
354.03	91.672	89.842	94.122	92.808	45.666	5.404
354.99	92.030	89.579	94.299	92.844	45.801	7.327
355.95	92.272	89.442	94.436	92.863	45.931	9.831
357.04	92.348	89.447	94.534	92.868	46.046	12.678
358.01	92.266	89.585	94.581	92.845	46.162	15.589
358.98	92.055	89.835	94.613	92.832	46.283	18.342
359.95	91.728	90.171	94.610	92.815	46.394	20.765
361.05	91.401	90.561	94.595	92.818	46.503	22.748
362.02	91.103	90.950	94.536	92.802	46.579	24.321
363.00	90.893	91.328	94.471	92.803	46.627	25.458
363.98	90.792	91.683	94.391	92.817	46.608	26.148
364.95	90.814	92.005	94.315	92.820	46.497	26.322
366.06	90.929	92.311	94.236	92.802	46.273	25.939
367.04	91.137	92.603	94.163	92.744	45.874	25.025
368.02	91.397	92.888	94.105	92.643	45.297	23.889
368.99	91.667	93.181	94.078	92.461	44.522	22.828
369.97	91.951	93.502	94.086	92.098	43.548	22.129
370.95	92.213	93.806	94.103	91.428	42.380	21.955
372.05	92.454	94.104	94.138	90.297	41.003	22.478
373.03	92.693	94.409	94.208	88.739	39.493	23.570
374.00	92.939	94.691	94.302	86.741	37.873	25.112
374.98	93.185	94.950	94.414	84.283	36.179	26.941
375.95	93.437	95.153	94.504	81.432	34.475	28.854
377.04	93.716	95.313	94.580	78.221	32.806	30.709
378.00	94.007	95.437	94.645	74.702	31.236	32.354
378.97	94.300	95.540	94.696	70.997	29.800	33.697
380.05	94.613	95.608	94.737	67.247	28.531	34.653
381.01	94.914	95.632	94.761	63.612	27.450	35.189
381.96	95.201	95.658	94.792	60.251	26.582	35.289
383.04	95.432	95.639	94.810	57.332	25.948	34.922
383.98	95.615	95.599	94.832	54.846	25.522	34.181
385.05	95.749	95.540	94.848	52.801	25.302	33.150
385.99	95.853	95.448	94.873	51.226	25.310	31.949
387.04	95.927	95.357	94.916	50.068	25.533	30.761
387.98	95.971	95.246	94.969	49.293	25.953	29.697
389.02	95.997	95.114	95.019	48.842	26.545	28.875
389.95	95.999	94.963	95.056	48.588	27.301	28.350
390.99	96.002	94.829	95.091	48.434	28.223	28.202
