# XA0
Name            OV	Gain	    DGain	S/N	    DS/N
ALL             3.5	3.545E+05	3E+02	3.13	0.01
ALL             4.5	4.484E+05	5E+02	4.65	0.01
ALL             7.0	6.848E+05	5E+02	5.80	0.02
DF-XA_1	        3.5	3.57E+05	7E+02	3.46	0.02
DF-XA_1	        4.5	4.50E+05	7E+02	4.32	0.02
DF-XA_1	        7.0	6.88E+05	1.4E+03	6.48	0.05
noDF-XA	        3.5	3.52E+05	9E+02	2.95	0.06
noDF-XA	        4.5	4.43E+05	1.1E+03	3.73	0.08
noDF-XA	        7.0	6.74E+05	1.9E+03	5.69	0.11
noDF-XA_24mg	3.5	3.53E+05	8E+02	2.88	0.02
noDF-XA_24mg	4.5	4.49E+05	1.5E+03	3.65	0.05
noDF-XA_24mg	7.0	6.86E+05	1.0E+03	5.56	0.03
DF-XA-DS	    3.5	3.37E+05	5.2E+03	2.27	0.37
DF-XA-DS	    4.5	4.40E+05	5.3E+03	2.60	0.38
DF-XA-DS	    7.0	6.96E+05	3.5E+03	3.42	0.13
noDF-XA-DS	    3.5	3.58E+05	1.9E+03	2.23	0.06
noDF-XA-DS	    4.5	4.53E+05	2.2E+03	2.88	0.08
noDF-XA-DS	    7.0	6.88E+05	1.6E+03	4.50	0.05
DF-XA_2	        3.5	3.54E+05	4E+02	3.18	0.01
DF-XA_2	        4.5	4.49E+05	9E+02	5.68	0.02
DF-XA_2	        7.0	6.84E+05	7E+02	6.10	0.02
