# XA1			
Name            OV	Gain	    DGain	S/N	    DS/N
ALL             3.5 3.487E+05	3.2E+02	3.43	0.01
ALL             4.5 4.486E+05	4.6E+02	4.40	0.01
ALL             7.0 6.928E+05	5.8E+02	6.17	0.02
DF-XA_1	        3.5	3.59E+05	8E+02	3.75	0.03
DF-XA_1	        4.5	4.55E+05	8E+02	4.61	0.02
DF-XA_1	        7.0	6.93E+05	1.8E+03	6.76	0.08
noDF-XA	        3.5	3.56E+05	1.3E+03	3.21	0.05
noDF-XA	        4.5	4.51E+05	1.8E+03	3.89	0.09
noDF-XA	        7.0	6.91E+05	2.3E+03	5.60	0.13
noDF-XA_24mg	3.5	3.57E+05	7.6E+02	3.02	0.02
noDF-XA_24mg	4.5	4.53E+05	1.4E+03	3.80	0.04
noDF-XA_24mg	7.0	6.92E+05	1.1E+03	5.77	0.03
DF-XA-DS	    3.5 3.51E+05	8.1E+03	1.51	0.13
DF-XA-DS	    4.5 4.48E+05	3.0E+03	1.94	0.15
DF-XA-DS	    7.0 6.92E+05	6.6E+03	3.01	0.40
noDF-XA-DS	    3.5	3.49E+05	2.3E+03	3.43	0.05
noDF-XA-DS	    4.5	4.49E+05	1.6E+03	4.40	0.07
noDF-XA-DS	    7.0	6.93E+05	2.5E+03	6.17	0.14
DF-XA_2	        3.5	3.43E+05	4E+02	3.62	0.01
DF-XA_2	        4.5	4.43E+05	7E+02	4.44	0.02
DF-XA_2	        7.0	6.94E+05	8E+02	6.49	0.03
