Name            OV	SET	VALUE	CH0	    CH1	    TOTAL
DF-XA_1         7.0	1	0.000	0.54	0.41	0.96
DF-XA_1         7.0	2	-0.030	0.61	0.39	1.00
DF-XA_1         7.0	3	-0.058	0.68	0.35	1.03
DF-XA_1         4.5	1	0.000	0.55	0.40	0.95
DF-XA_1         4.5	2	0.004	0.62	0.38	1.01
DF-XA_1         4.5	3	 nan	0.70	0.34	1.04
DF-XA_1         3.5	1	0.000	0.55	0.40	0.96
DF-XA_1         3.5	2	-0.015	0.63	0.38	1.01
DF-XA_1         3.5	3	 nan	0.70	0.33	1.03
noDF-XA         7	1	0.000	0.54	0.40	0.94
noDF-XA         7	2	0.011	0.63	0.39	1.02
noDF-XA         7	3	-0.005	0.69	0.33	1.02
noDF-XA         4.5	1	0.000	0.55	0.40	0.95
noDF-XA         4.5	2	0.042	0.63	0.37	1.00
noDF-XA         4.5	3	0.038	0.72	0.33	1.05
noDF-XA         3.5	1	0.000	0.55	0.40	0.95
noDF-XA         3.5	2	-0.008	0.63	0.37	1.00
noDF-XA         3.5	3	0.035	0.72	0.33	1.05
noDF-XA_24mg    7	1	0.000	0.55	0.43	0.98
noDF-XA_24mg    7	2	-0.011	0.61	0.40	1.01
noDF-XA_24mg    7	3	-0.027	0.67	0.33	1.00
noDF-XA_24mg    4.5	1	0.000	0.56	0.41	0.97
noDF-XA_24mg    4.5	2	-0.009	0.63	0.38	1.01
noDF-XA_24mg    4.5	3	-0.023	0.69	0.32	1.01
noDF-XA_24mg    3.5	1	0.000	0.56	0.41	0.97
noDF-XA_24mg    3.5	2	-0.003	0.63	0.38	1.01
noDF-XA_24mg    3.5	3	-0.012	0.70	0.31	1.01
DF-XA-DS        7	1	0.000	0.54	0.42	0.96
DF-XA-DS        7	2	-0.016	0.61	0.40	1.01
DF-XA-DS        7	3	-0.032	0.66	0.36	1.02
DF-XA-DS        4.5	1	0.000	0.56	0.40	0.96
DF-XA-DS        4.5	2	-0.012	0.64	0.38	1.02
DF-XA-DS        4.5	3	-0.028	0.68	0.33	1.01
DF-XA-DS        3.5	1	0.000	0.56	0.40	0.96
DF-XA-DS        3.5	2	-0.014	0.64	0.38	1.02
DF-XA-DS        3.5	3	-0.015	0.68	0.33	1.01
noDF-XA-DS      7	1	0.000	0.56	0.40	0.96
noDF-XA-DS      7	2	0.010	0.63	0.37	1.00
noDF-XA-DS      7	3	 nan	0.70	0.34	1.04
noDF-XA-DS      4.5	1	0.000	0.56	0.40	0.96
noDF-XA-DS      4.5	2	-0.007	0.63	0.37	1.00
noDF-XA-DS      4.5	3	 nan	0.71	0.33	1.04
noDF-XA-DS      3.5	1	0.000	0.56	0.39	0.95
noDF-XA-DS      3.5	2	-0.006	0.63	0.37	1.00
noDF-XA-DS      3.5	3	-0.024	0.71	0.33	1.04
DF-XA_2         7	1	0.000	0.55	0.39	0.94
DF-XA_2         7	2	0.009	0.62	0.38	1.00
DF-XA_2         7	3	0.000	0.72	0.35	1.06
DF-XA_2         4.5	1	0.000	0.55	0.39	0.94
DF-XA_2         4.5	2   0.021	0.63	0.37	1.00
DF-XA_2         4.5	3   -0.008	0.73	0.33	1.07
DF-XA_2         3.5	1	0.000	0.55	0.39	0.94
DF-XA_2         3.5	2	0.015	0.63	0.37	1.00
DF-XA_2         3.5	3	0.015	0.74	0.33	1.07
