Name            OV	    BOX 	CH0     CH1	    TOTAL
DF-XA           7.00	1.00	0.0233	0.0176	0.0409
DF-XA           7.00	2.00	0.0262	0.0168	0.0429
DF-XA           7.00	3.00	0.0292	0.0150	0.0442
DF-XA           4.50	1.00	0.0182	0.0134	0.0317
DF-XA           4.50	2.00	0.0207	0.0127	0.0334
DF-XA           4.50	3.00	0.0234	0.0112	0.0345
DF-XA           3.50	1.00	0.0159	0.0116	0.0275
DF-XA           3.50	2.00	0.0180	0.0110	0.0290
DF-XA           3.50	3.00	0.0202	0.0095	0.0297
noDF-XA         7.00	1.00	0.0298	0.0219	0.0517
noDF-XA         7.00	2.00	0.0345	0.0212	0.0557
noDF-XA         7.00	3.00	0.0378	0.0183	0.0562
noDF-XA         4.50	1.00	0.0233	0.0168	0.0401
noDF-XA         4.50	2.00	0.0266	0.0157	0.0424
noDF-XA         4.50	3.00	0.0304	0.0139	0.0443
noDF-XA         3.50	1.00	0.0200	0.0144	0.0344
noDF-XA         3.50	2.00	0.0229	0.0135	0.0363
noDF-XA         3.50	3.00	0.0262	0.0119	0.0381
noDF-XA_24mg    7.00	1.00	0.0285	0.0220	0.0504
noDF-XA_24mg    7.00	2.00	0.0317	0.0204	0.0521
noDF-XA_24mg    7.00	3.00	0.0346	0.0173	0.0519
noDF-XA_24mg    4.50	1.00	0.0221	0.0165	0.0386
noDF-XA_24mg    4.50	2.00	0.0250	0.0153	0.0402
noDF-XA_24mg    4.50	3.00	0.0277	0.0126	0.0403
noDF-XA_24mg    3.50	1.00	0.0188	0.0138	0.0326
noDF-XA_24mg    3.50	2.00	0.0211	0.0127	0.0338
noDF-XA_24mg    3.50	3.00	0.0236	0.0105	0.0340
DF-XA-DS        7.00	1.00	0.0250	0.0196	0.0446
DF-XA-DS        7.00	2.00	0.0284	0.0187	0.0471
DF-XA-DS        7.00	3.00	0.0306	0.0166	0.0472
DF-XA-DS        4.50	1.00	0.0207	0.0150	0.0357
DF-XA-DS        4.50	2.00	0.0237	0.0142	0.0380
DF-XA-DS        4.50	3.00	0.0253	0.0124	0.0377
DF-XA-DS        3.50	1.00	0.0184	0.0130	0.0313
DF-XA-DS        3.50	2.00	0.0210	0.0123	0.0332
DF-XA-DS        3.50	3.00	0.0223	0.0106	0.0329
noDF-XA-DS      7.00	1.00	0.0292	0.0207	0.0499
noDF-XA-DS      7.00	2.00	0.0325	0.0195	0.0520
noDF-XA-DS      7.00	3.00	0.0364	0.0178	0.0542
noDF-XA-DS      4.50	1.00	0.0233	0.0166	0.0399
noDF-XA-DS      4.50	2.00	0.0263	0.0155	0.0418
noDF-XA-DS      4.50	3.00	0.0297	0.0139	0.0437
noDF-XA-DS      3.50	1.00	0.0197	0.0140	0.0337
noDF-XA-DS      3.50	2.00	0.0225	0.0131	0.0356
noDF-XA-DS      3.50	3.00	0.0254	0.0117	0.0371
DF-XA_2         7.00	1.00	0.0265	0.0189	0.0455
DF-XA_2         7.00	2.00	0.0301	0.0182	0.0483
DF-XA_2         7.00	3.00	0.0346	0.0167	0.0514
DF-XA_2         4.50	1.00	0.0214	0.0150	0.0364
DF-XA_2         4.50	2.00	0.0244	0.0143	0.0388
DF-XA_2         4.50	3.00	0.0284	0.0129	0.0414
DF-XA_2         3.50	1.00	0.0186	0.0130	0.0316
DF-XA_2         3.50	2.00	0.0213	0.0124	0.0338
DF-XA_2         3.50	3.00	0.0248	0.0112	0.0360
